Annee;Numero du trimestre;France metropolitaine
1982;4;6,9
1983;4;7,2
1984;4;8,7
1985;3;9,1
1986;4;9
1989;1;8,3
1990;4;7,9
1992;1;8,7
1992;3;9,2
1992;4;9,4
1994;4;10,4
1995;4;10,1
1996;1;10,3
1999;3;9,9
2000;2;8,7
2000;3;8,3
2002;1;7,8
2002;2;7,9
2002;3;7,9
2003;3;8,4
2004;1;8,9
2004;3;8,9
2005;2;8,8
2005;3;9
2006;3;8,9
2007;3;8
2008;1;7,1
2009;1;8,6
2009;4;9,6
2010;1;9,4
2010;3;9,3
2011;2;9,1
2011;4;9,3
2012;3;9,9
2013;1;10,4
1982;2;6,8
1986;1;9
1987;2;9,1
1987;3;9
1989;4;8,1
1993;4;10,5
1997;4;10,5
1999;4;9,5
2001;2;7,8
2001;3;7,7
2007;1;8,4
2010;4;9,2
2012;4;10,1
1982;1;6,8
1982;3;6,9
1990;1;8
1990;2;7,9
1993;2;9,9
1994;3;10,6
1995;1;10,1
1999;1;10,3
2000;1;9
2000;4;8,1
2001;1;7,9
2001;4;7,6
2003;2;8,5
2004;2;8,8
2005;4;9,1
2006;4;8,4
2007;2;8,1
2007;4;7,5
2008;3;7,4
2009;3;9,2
2011;3;9,2
2012;1;9,5
1985;1;8,5
1988;1;9
1988;2;8,9
1991;2;8,1
1991;3;8,1
1994;2;10,8
1995;2;9,9
1995;3;10
1996;2;10,5
1996;3;10,7
1997;2;10,8
1998;4;10,3
1999;2;10,2
2002;4;8
2003;1;8,3
2004;4;8,9
2005;1;8,7
2006;2;8,9
2009;2;9,2
2010;2;9,3
2012;2;9,8
1983;1;7
1983;2;7,2
1983;3;7,2
1984;1;7,6
1984;2;8,3
1984;3;8,8
1985;2;8,6
1985;4;9,2
1986;2;8,9
1986;3;8,9
1987;1;9,1
1987;4;9,1
1988;3;8,7
1988;4;8,5
1989;2;8,2
1989;3;8,2
1990;3;7,9
1991;1;8
1991;4;8,3
1992;2;8,9
1993;1;9,6
1993;3;10,2
1994;1;10,7
1996;4;10,7
1997;1;10,8
1997;3;10,7
1998;1;10,3
1998;2;10,2
1998;3;10,3
2003;4;8,8
2006;1;9,1
2008;2;7,3
2008;4;7,8
2011;1;9,1
